DICT Англо-русский словарик на 1665 слов
abandon|эбэндэн|покидать, отказывать
ignore|игно|игнорировать
iic|айайси|код длины команды
illegal|илиигэл|незаконный
image|имэдж|образ
imaginary|имэджинэри|мнимый
immediate(ly)|имидьэт(ли)|непосредственный (сразу же)
immerse|иммес|погружать
impact|импэкт|импульс, столкновение
impart|импаат|придавать
imperfection|импэфэкшн|дефект, искажение
impinge|импиидж|сталкиваться
implement|имплимэнт|обеспечивать
implementation|имплиминэйшн|реализация
implicate|импликэйт|спутывать, вовлекать
implicit|имплисит|неявный
imply|имплай|подразумевать, иметь следствие
imrose|импоуз|налагать, придавать
improper|импропэ|неуместный
improve(ment)|импрув(мэнт)|совершенствовать (уточнение)
inactive|инэктив|невыполняемый
inadequate|инадиквит|недостаточный
inception|инсэпшн|начало
incidence|инседэнс|падение, наклон
include|инклююд|включать, заключать
incompatuble|инкэмпайтэбл|несовместимый
incomplete|инкомплэйт|неполный
inconsistent|инкэнсистэнт|несовместимый
incorporate|инкоопэрэйт|соединяться
incorrect|инкорэкт|неверный, неправильный
increase|инкрииз|расти, увеличение
increment|инкримит|приращение
indeed|индиид|в самом деле
independen|индэпэндэнт|независимый
index(ed)|индэкс(ид)|указатель (индексированный)
indicate|индикэйт|показывать
indirect|индирэкт|косвенный
indispensable|индиспэнсибл|необходимый, обязательный
induce|индьюс|наводить
inexplicable|ин'экспликэбл|необ'яснимый
infinite|инфинит|бесконечный
inflection|инфлэкшн|отклонение, перемещение
influence|инфлуэнс|влиять
ingot|ингот|слиток
inhabit|инхабит|жить, обитать
inherent|инхиэрэнт|собственный, присущий
inherit|инхэрит|унаследовать
inhibiting|инхибитинг|запрещающий
initial|инишиэл|первоначальный, начальный
ink|инк|чернила
in line|ин лайн|внутренний, встроенный
inner|ина|внутренний
innose|инноус|облагать, навязывать
innovation|инновэйшн|новшество
inoperative|инопэрэтив|недействительный
input|инпут|ввод
inquiry|инквайэри|запрос
insert|ин,сээт|вписывать, вставлять, помещать
insight|инсайт|проницательный, в поле зрения
inspire|инспайэ|вдохновлять, влиять
installation|инстэлэйшн|установка,водворение,предприятие
instance|инстанс|пример
instill|инстил|исподволь, внушать
in|stream|ин|стриим|входной поток
insufficient|инсэфишэнт|недостаточный
integer|интэджэ|целое
integral|интигрэл|целочисленный
integrity|интегрити|целостность
intend|интэнд|намереваться
interaction|интэракшн|взаимодействие
inter alia|интэ элайла|между прочим
intercept|интэсэпт|подхват, сопровождение
interface|интэфэис|общ. граница, связь с вну
interleaving|интэливинг|прослаивание, одновременный
intermediate|интэмидьэт|промежуточный
internal|интеенал|внутренний
interrelation|интэрилейшн|безсвязность
interrupt|интэрапт|прерывание
intervening|интэвиининг|разделительный
intervention|интэвеншн|вмешательство
into|инту|в (внутрь)
invalid|инвэлид|ложный, неверный
inevitable|иневитэйбл|неизбежно(|ный)
invite|инвайт|приглашать
invocation|инвоукэйшэн|вызов
invoke|инвоук|вызывать процедуру
i|o|айоу|ввод|вывод
iocs|айоусиэс|система упр. в/в
ipl|айпиэл|прогр. нач. загрузки
is|из|есть (ед. ч.)
issue|исьюу|выход, издание, выпускать
item|айтем|тема, пункт, элэмент
iterate|итэрэйт|повторять
jack(et)|джэк(ит)|гнездо, штепсель (чехол)
jastification|джастификэйшн|выравнивание
jet|джэт|струя, реактивный двигатель
jig|джиг|зажим, шаблон
jitter|джита|вибрация
job|джоб|задание, работа
joint|джоинт|стык, связывать, соединять
joystick|джойстик|перо для ввода графиков
jump|джамп|переход
juncture|джанкчэ|соединение
just(ify)|джаст(ифай)|как раз, выключка(выравниватель)
justice|джастис|справедливость
keep|кип|хранить
key|кии|ключ
keyboard|киибоод|клавиатура
keyed|киид|с ключом
key from|ки фром|ключ из
key to|ки ту|ключ в
known(ledge)|ноу(лидж)|известно (знание)
keyword|киивоод|ключевое слово
label|лэйбл|метка, маркировочный знак
lack|лэк|неудача, отсутствовать
lag|лэг|задержка, интервал
landline|лэндлайн|континентальный
language|лэнгвидж|язык
lap(ping)|лэп(инг)|притирать, шлифовка
large|ладж|большой
lateral|лэтэрэл|боковой, поперечный
latch|лэч|щеколда, запираться
latency|лейтэнси|время запаздывания
later|лэйтэ|последующий
lattice|лэтис|решетка
lay(er)|лэй(э)|класть, положить (слой)
layout|лэйаут|разметка, схема, план
lbltyp|лэйблтайп|тип метки
lead(ing)|линд(инг)|вести, свинец (ведущие)
leak|лиик|учета, протекающий
leapfrog test|лиипфрог тест|тест "прыгающая лягушка"
learning|ленинг|обучение
least(at least)|лиист|меньший (во всяком случае)
left|лэфт|левый
leg|лэг|вывод, перемычка
legitimate|лэджитимейт|допустимый
length|лэнгф|длина
less then|лес зен|меньше чем
letter|лэтэ|буква, литера
lever|лива|рычаг
liberate(ion)|либэрэйт(шн)|выделять (отдача)
library|лайбрари|библиотека
lift|лифт|поднимать
light|лайт|свет, легкий, зажигать
like(d)|лайк(ид)|подобно (уподобляться)
limit|лимит|предел, ограничивать
lincage|линкэйдж|связывание
line(ar)|лайн(линиэ)|линовать, строка (линейный)
line|up|лайн|ап|выравнивание
link(age)|линк(идж)|связывать, звено (связь)
linklib|линклиб|библиотека об'ектных модулей
liquid|ликвид|жидкий
list(ing)|лист(инг)|список, вносить (распечатка)
live(ly)|лив(ли)|жить (оживленно)
load(er)|лоуд(э)|загрузка (загрузчик)
local|лоукэл|местный, локальный
locate(mode)|локэйт(моуд)|разместить (режим указания)
lock(ing)|лок(инг)|стопор, блокировка(неограничен.)
log(ging)|лог(инг)|журнал (регистрация)
logic(al)|лоджик(ал)|аогоритм (логический)
logoff|логоф|окончить сеанс,выйти из системы
logon|логон|начать сеанс, войти в систему
long|лонг|длинный
longevity|лонгивити|долговечность
loop|лууп|цикл, петля
loose(ly)|луус(ли)|незакрепленный (свободно)
lose|лууз|терять
loss|лос|потеря, затухание
low|лоу|низкий
low(er)|лоу(вэ)|низкий, нужная (понижать)
low|val e|лоу|вэлью|наимейшее значение
lucid|луусид|понятный, прозрачный
lump(ed)|ламп(эд)|смешивать в кучу
magnification|магнификейшн|увеличение, усиление
magnitude|магнитьюуд|величина, модуль
main(tain)|мэйн(тэйн)|главный (поддерживать)
maintenance|мейнтинэнс|тех. обслуживание, авт. кор|ка
major(ity)|мейджэ(рити)|старший (большинство)
makeup|мейкап|повторный прогон
malfunction|мэлфанкшн|сбой, результат отказа
management|мэниджмэнт|управление
mandrel|мандрил|сердечник, оправка
manifest|манифест|ясно показывать, проявлять
manifold|манифоулд|многообразие, размножать
manual|маньюэл|ручной, руководство
manufacturer|маньюфакчери|изготовитель
many|мэни|много
map|мэп|отображение, план
margin|маджин|край, запас, надежность
mark|маак|знак, отмечать
mass(ive)|мэс(ив)|масса (массивный)
master(clock)|мастэ(клок)|главный (задающий генератор)
match(ing)|мэч(инг)|соответствовать (подбор)
matter|мэта|представлять
mature|мэтьюэ|зрелый
may|мэй|может
mean(s)|миин(с)|средний (средство)
meaningful|минингфул|имеющий смысл
media conversion мидьэкэнвэшн|перезапись
medium|миидьэм|носитель, среда, средний
member|мембэ|член
merge|медж|поглощать, соединять
merit|мэрит|качество
mesh|мэш|ячейка
message|мэсэдж|сообщение
middle|мидл|середина
minor|майнэ|малый, второстепенный
minute|майньют|незначительный, точный
mirror|мира|зеркало
miscellaneous|мисэлэньос|разнообразный
mismatch|мисмеч|неверно подбирать
misplace|мисплэйс|неправильное место
missile|мисл|ракета
miss(ing)|мис(инг)|пропустить (недостающий)
mistake|мистэйк|ошибка, неверное действие
mix|микс|перемешивать
mod|мод|обновляемый
mode|моуд|способ, режим
modul|моудэл|модуль
monolithic|моноулифик|интегральный
mount|маунт|установить
monitor|монита|управлять
move|муув|двигаться, переслать
mtc|эмтиси|многодор. операции
multiply|малтиплай|умножение
mutually|мьютюэли|взаимно
name(list)|нэйм(лист)|имя (список имен)
native|нейтив|автономный
natural|натэрэл|естественный
necessitate|нэсэситэйт|вынуждать
need(le)|ниид(ли)|нуждаться (игла, указатель)
negative|нэгжтив|отрицательный
need|ниид|нуждаться, требоваться
neglect|ниглект|пренебрегать, отказываться
negligible|ниглиджэбл|незначительный
neighbo(u)r|нэйба|сосед
nest(ing)|нест(инг)|вкладывать, гнездовать(вложение)
net(work)|нэт(уок)|сетка (сеть, схема)
neutral|ньютрэл|однополярный
new|нью|новый
next|нэкст|следующий
no|ноу|нет
nodule(node)|ноудьюл(ноуд)|узел
noise|ноиз|шум, помехи
non|controlled|нон|кэнтролд|неуправляемый
nondestructive|нондистрактив|неразрушающий
non|numeric|нон|ньюмэрик|нечисловой
nonreusable|нонриюзэбл|не допуск. повт. использования
nontemporary|нонтемпэрэри|постоянный
nonuniform|нонюнифоом|неоднородный
nor|но|также не
not|нот|не
note(worthy)|ноут(уоси)|замечание (достопримечательный)
notation|ноутэйшн|запись, обозначение
note|ноут|замечание
now|нау|теперь
nucleus|ньюклеиз|ядро
numeric|ньюмэрик|числовой
number|намбе|номер, число
object|обджикт|об'ектный (после трансляции)
obscure|обскьюд|затемнять, скрывать
observe|обзеев|наблюдать
obsolete|обсэлит|устаревший
obtain(able)|обтэин(эйбл)|получать (доступный)
occur(rence)|экэ(рэнс)|иметь место (событие)
odd|од|нечетный
offline|оффлайн|автономный, отключенный
offset|офсет|смещение, интервал
old|оулд|старый
omission|омишн|пропуск
omit(ed)|омит(эд)|опускать (опущенный)
on(set)|он(сэт)|при, на (начало)
online|онлайн|подключенный, в комплексе
only|оунли|только
opaque|оупэйк|непрозрачный
open(ing)|оупэн(инг)|открыть (отверстие)
operate(ive)|оперэйт(ив)|приводить в действие (дейст|щий)
option(al)|опшн(л)|возможность (необязательный)
or|о|или
order|одэ|упорядочивать
open|оупэн|открыть
original|эриджэнал|первоначальный
other|афэ|другой
otherwise|азэвайз|в другом случае, иначе
out of line|аут оф лайн|внешний
output|аутпут|вывод
outstanding|аустэндинг|выдающийся
overall|оувэрэл|предельный, спецодежда
over(lay)|оувэ(лэй)|через, над (соед. сигментов)
overflow|оувэфлоу|переполнение
override|оуверайд|игнорировать
overwritten|оувэритэн|заново записанный
owned|оунд|собственный
pack(ing)|пэе(инг)|упаковывать (упаковка)
package|пэкэдж|корпус, блок, модуль
packed|пэкт|упакованный
pad(ding)|пэд(инг)|выравниватель (набивка)
page(size)|пэйдж(сайз)|страница (размер страницы)
pair|пэа|пара
ran|пэн|чашка, кювета
paper|пэйпа|бумага, документ
parameter|пэрэметэ|параметр
parent(hesis)|пээрэнт(фисис)|исходный (круглые скобки)
parity|парити|четность, равенство
parse|пааз|производить разбор, анализ
part(icle)|пат(икл)|деталь, разделять (частица)
particular(ly)|патикьюла(ли)|особенный (в частности)
partition(ed)|паатишэн(д)|секция, раздел(библиотечный)
pass(word)|пас(уоод)|передавать (пароль)
paste|пэйст|склеивать
patch(y)|пэч(и)|заплата, скрутка (неоднородный)
patrol|пэтрол|наблюдение
pattern|пэтэн|образец, набор, схема
path|паз|траектория, путь
pause|пооз|пауза
peak|пиик|обострять, импульс
pend|пэнд|ожидать
penetrate(ion)|пэнитрэйт(шн)|проникать (проницаемость)
perform(ance)|пефом(энс)|совершать (производительность)
permanent|пээмэнэнт|постоянный
permissible|пэмисибл|допустимый
permit|пэмит|позволять, допускать
persist(ence)|песист(энс)|сохраняться (постоянство)
perturt|петьют|возмущать
phase|фэйз|фаза
pick(up)|пик(ап)|отбирать (датчик)
picture|пикчэ|шаблон, изображение
piece|пиис|штука, кусок, элемент
pilot|пайлот|отладочный
pin(down)|пин(даун)|штырь (связывать)
pinch|off|пинч(оф)|отсечка, смыкание
pinhole|пинхоул|прокол, гнездо
pit(ch)|пит(ч)|впадина (шаг)
place|плэис|место, помещать, разряд
plant|плант|цех
platen|плэтэн|валик
play|плэй|воспроизводить
plot|плот|график, диаграмма, откладывать
plug(board)|плаг(боод)|вставлять, раз'ем (панель)
plus|плас|плюс
point(er)|поинт(э)|пункт (указатель)
poligonal|полигэнэл|замкнутая система
polish|полиш|полировать, польский
polling|полинг|опрос
pool|пуул|резервуар
port(able)|поот(эбл)|общий блок, проход (с'емный)
positive|позитив|положительный
position(ing)|позишн(инг)|позиция (с указ. позиции)
possibly|посэбли|возможно, вероятно
post|поуст|описывать, отмечать
postmortem|поустмоутэм|посмертный
powder|паудэ|порошок, размалывать
precaution|прикоушен|предосторожность
preceding|присиидинг|предшествующий
precision|прэсижэн|точность
predication|придикэйшн|прогноз
prefer|префэ|предпочитать
present|прэзэнт|представлять, настоящий
preset|присэт|задавать
prestore|престоо|заправить
presume(able)|призьюм(эбл)|допускать (предположительно)
prevent|привэнт|предотвращать, мешать
preventive|привэнтив|профилактический
previously|привиэсли|предварительно
primary|праймэри|первичный, основной
prime|прайм|основной
print|принт|печатать, печать
printer layout|принтэлайаут|формат печати
private|прайвит|личный, частный, выделенный
probably(ity)|пробэбли(ти)|возможный (вероятность)
probe|проуб|зонд, датчик, штырь
procedure|просиджэ|процедура
process(ing)|просэс(инг)|обрабатывать (обработка)
procurement|прокьюэмэнт|приобретение
produce|прэдьюс|производить
proliferation|пролиферэйшн|размножение
proliminary|пролиминэри|предварительный
prominent|проминэнт|выделяющийся
promrt|промт|проворный
proof|пруф|доказательство, безопасный
proper(ty)|пропэ(ти)|соответствующий (свойство)
proprietary|прэпрайэтэри|собственнический,патентованный
protected|протэктид|защищенный
protection|протэкшн|защита
prove|пруув|доказывать, оказываться
provide|провайд|подавать, обеспечивать
psw|пээсвэ|слово состония программы
pump|памп|откачивать, насос
punch|панч|перфорировать
pure(ity)|пью(рити)|чистый (чистота)
purpose|пепэз|цель
push(batton)|пуш(ьатн)|толкать (кнопка)
put|пут|положить, послать
quad|квоод|четверка
qualifier|кволифайэ|классификатор, определитель
quanch(ing)|квонч(инг)|подавлять (гашение, затухание)
quantization|квонтизэйшн|квантование
quantitative|квонтатив|количественный
quarter|квотэ|четверть
queue|кью|очередь
quiescence|квайэсунс|в покое
queue(d)|кью(д)|очередь (очередной)
quick|квик|быстрый
quiescent|квайэсэнт|статический, в покое
quiescing|квайэсинг|заблокированный
quiet|квайэт|покой, без рег. сбоев
quite|квайт|вполне, совершенно
quote(d)|квоут(ид)|кавычка (в кавычках)
quotient|квотайэнт|частное
radiant|рэдиэнт|лучистый
radiate(ion)|рэдиэйт(шн)|излучать (излучение)
radix|рейдикс|основание (позиционный)
ramification|рэмификэйшн|разветвление
random|рэндэм|произвольный, случайный
range|рэндж|диапазон, дальность
rank|рэнк|ранжировать, расставлять
rapid(ity)|рэпид(ити)|быстрый (быстрота)
rare|рэд|редкий, разреженный
rate(ing)|рэйт(инг)|скорость, степень, темп (оценка)
rather then|разэ зэн|а не
ratio|рэйшиоу|отношение, коэффициент
rating|рэйтинг|класс
raw|роу|сырой, необработанный
ray|рэй|луч
reach|риич|получить, доступный
reactance|риэктэнс|реактивное сопротивление
read(ing)|рид(инг)|читать (считывание)
real|риэл|вещественный
realize|риалайз|реализовать, понимать
rear|риа|задний
reason|риизэн|аргумент, рассуждение
rebound|рибаунд|отскакивать
receive(ing)|рисиив(инг)|прием (получение)
reciprocal|рэсипрокал|обратный, взаимный
recognition|рикогнишн|распознавание
record|рикод|запись
recovery|рикавери|восстановление
rectify|рэктифай|выпрямлять
redefine|ридифайн|переопределять
reduce|пэдьюс|уменьшать, сокращать
redundancy|риданданси|избыточность
reel|рил|катушка, бобина
reenterable|риэнтэрэйбл|одновременно используемый
reentrant code|риентрэнт коуд|многократно вводимый код
refer(ence)|рифэ(рэнс)|отсылать (ссылка,отсчет,справка)
refraction|рэфрэкшн|преломление
refreshable|рифрэшэбл|восстанавливаемый
region|риджен|область
reguest|рэкьюст|запрос, требование
rejected|риджэктид|выброшенный
relative|рэлатив|относительный
relativization|релэтивизейшн|относительная адресация
relay(center)|рилей(сентэ)|реле (центр коммутации)
release|рэлиз|освобождение, разблокировка
reliability|рилайабилити|надежность
relocate(able)|рилоукэйт(эбл)|перемещать(|емый)
remainder|римэйндэ|разность
remark(able)|римак(эбл)|комментарий (заметный)
remote|римоут|удаленный
remove|римув|удалять, снимать
render|рэнда|формулировать
repair|рипэд|ремонтировать
repeat|рэпиит|повторение
repel|рипэл|отталкивать
replacing|риплэйсинг|заменяя
replication|репликэйшн|повторение
reply|риплай|ответ
report|рипоот|доклад, сообщать
represent|рипрезэнт|представлять
reproducer|рипрэдьюсэ|репродуктор
require|рикваэ|требовать
request|риквэст|запрос, переспрос
rerun|риран|повторный прогон
rescue dump|рескью дамп|аварийная загрузка, дамп
reseach|рисееч|исследование
reserve|ризев|резервировать
reset|рисэт|сбросить
reside|ризайд|размещаться
residual|рисидьюал|остаточный
residue|рисидью|остаток
resolve(r)|рисолв(э)|разрешать (разложитель)
resources|рэсосэз|средства, ресурсы
response|риспоунс|ответ, реагирование
rest(ory)|рист(ори)|отдых, покой (восстановление)
restricted|ристриктид|ограниченный
result in|ризалт ин|привести к
retain|ритэйн|сохранять
retard|ритаад|сдерживать
retrieval|ритривэл|поиск
retry|ритрай|повторная передача
return|ритен|возврат
reusable|риюзэбл|повторно|используемый
reuse|риюз|повт. использование
reverse|ривэс|обратный
revert|ривет|отменить
rewind|ривайнд|перемотка назад
rewrite|рирайт|переписать
ribbon|риббн|лента
right|райт|правый, правильный
rigit|риджит|жесткий
ring(down)|ринк(даун)|звонить (посылка сигн. вызова)
rise|райз|возрастать
rod|род|стержень, рычаг
rollback|роулбэк|возврат
roll|in|роул|ин|подкачивать,вызвать с вну в оп
roll|out|роул|аут|сбрасывать, записать на вну
rolling|ролин|с перемоткой
root|рут|корень
rotate|роутэйт|циклический сдвиг
roughly|рафли|приблизительно
round(ed)|раунд(ид)|округлять (округление)
route(ing)|руут(инг)|направление (маршрутизация)
routine|рутиин|программа
row(binary)|роу(бинэри)|ряд, строка (двоично|строчный)
rub|out|раб|аут|забой
run(book)|ран(бук)|прогон (документация по задаче)
safe|сэйф|безопасный
same|сэйм|тот же самый
sample(ing)|сэмпл(инг)|проба (квантование, выборка)
satellite|сатэлайт|периферийный, вспомогательный
satisfaction|сэтисфэкшэн|завершение, удовлетворение
satisfy|сэтисфай|удовлетворять
saturate(ion)|сэтьюрэйт(шн)|насыщать(|ние)
save|сэйв|спасать, экономить
scale|скейл|масштабировать
scan|скэн|сканировать
scatter(ing)|скэтэ(инг)|рассеяние, разброс
schedule|шедьюл|план
scoling|скэйлинг|масштабный
scope|скоуп|область действия
score|скоуэ|счет, делать отметку
scratch(pad)|скратч(пад)|чистить (сверхоперативный)
screen|скриин|экран(|ировать)
screw|скруу|винт
scrolling|скроулинг|просмотр записей
seal|сиил|спай, заливка
search|сээтш|поиск
searching|сэчинг|просмотр
secondary|секэндэри|вспомогательный
section(al)|секшн(л)|сечение, раздел (местный)
security|сэкьюрити|надежность, безопасность
seek|сик|установить, искать
select(ive)|силект(ив)|выбрать (избирательный)
self|defining|селфдифайнинг|самоопределяемый
semiautomatic|семиоотэмэтик|полуавтоматический
semicolon|сэмикоуаэн|точка с запятой
send(ing)|сэнд(инг)|посылать (посылка, сообщение)
sense|сэнс|воспринимать, состояние
sense address|сэнс эдрэс|адрес бус
sensing|сэнсинг|опознавание
sentence|сэнтэнс|предложение
sentinel|сэнтинэл|страж
separate(ion)|сэпэрэйт(шн)|разделять (перегородка)
sequence|сэквэнс|последовательность, ряд
sequential|сиквеншэл|последовательный
ser(ial)|сэр(иэл)|серийный (поочередны)
serialize|сиэриэлайз|преобр. в последовательный код
series|сэрис|род, серия, посл. соединение
session|сэшн|сеанс
set(up)|сэт(ап)|установка, набор(сборка,монтаж)
severe|сивиэ|серьезная
shade|шэйд|затенять
shape|шэйп|форма, формироваться
share|шэд|разделять,совместно использовать
shard|шаад|острый, резкий
sheath|шиф|футляр, слой
sheet|шиит|лист, слой, простыня
shell|шэл|оболочка, корпус
shield|шэлд|щит, экран
shift|шифт|сдвиг, перестановка
shock|шок|ударная нагрузка
short|шот|короткий, увеченный
shoulder tap|шоулдэ тап|прямое соединение
shrink|шринг|сокращаться
side|сайд|боковой
sight|сайт|просвет
sign|сайн|знак, символ
significance|сигнификанс|значимость
signal|сигнэл|сигнал
simple(fication) симпл(ификэйшн)|простой (упрощение)
similar|симилэ|аналогичный
simulate|симьюлэйт|моделировать, имитировать
simultaneously|сималтэньюсли|одновременно, совместно
singing|сингин|свист
single|сингл|отдельный, единственный
sink|синк|приемник, сток
site|сайт|место, узел решетки
size|сэйз|размер, величина
sketch|скэтч|эскиз, схема
skew|скью|перекос
skip|скип|пропустить, выдать строку
skin|скин|оболочка
slab|слэб|слой
slash|слаш|косая черта
sleeve|слиив|рукав, муфта
sli|сли|инд. непр. длины
slice|слайз|вырзка, подрезанный
slicing(time)|слайсинг|разделение времени
slide|слайд|движок
sligtly|слайтли|незначительно, слегка
slit|слайт|щель
slope|слоуп|наклон
slot|слот|область, занимаемая страницей
slump|сламп|резкое, падение
small|смол|маленький
smooth(ly)|смуф(ли)|ровный, сглаживать(согласованно)
snap(shot)|снэп(шот)|снимок (выборочный дамп)
sneak|сниик|блуждающий
socket|сокэт|гнездо, патрон
sofequard|софквайэд|гарантировать
software|софтувэд|программное обеспечение
solder|солдэ|паять
solely|соулли|исключительно, единственно
solid|соулид|интегральный, полупроводниковый
solution|солюшн|решение, раствор
solve|соулв|решать, растворять
some what|сам вот|отчасти, кое что
source|сос|исходный
space|спэйс|пробел, память
spare|спэд|беречь, экономить, запасать
spark|спаак|искрить
specify|спэсифэй|устанавливать
specimen|спэйсмэн|образец
split|сплит|расщеплять, разделять
spool|спул|катушка
spot|спот|пятно, ячейка, место
spread|спрэд|расстилать, располагать
srutter|спатэ|напылять, разбрызгивать
stack|стэк|комплект, укладывать
stage|стэйдж|ступень, звено
statement|стэйтмэнт|команда, оператор
static|стэтик|статический
station|стэйшэн|терминал, абонентский пункт
steady|стэди|устойчивый
steam|стиим|пар
stem|стэм|стержень
standby|стэндбай|резерв, остаточная готовность
standing|мтэндин|сквозной
step|стэп|этап, шаг, скачек
stop|стоп|стоп, останов
storage|сторидж|память
store|стоо|вводить в зу, хранить
stream|стрим|поток
strick|стрик|прилипать
string|стрин|строка
stip|сто|перемешивать
straight|стрэйт|прямой, правильный
strain|стрэйн|деформация, натяжение
strap|стрэп|полоса
strength|стрэнго|прочность, сила
stress|стрэс|напряжение
strike|страйк|ударять, забастовка
striping|страйпинг|прочеркивание
stroke|строук|штрих
stunt|стант|неосновной
subcripted|сабскриптэд|индексированный
subject|сабджэкт|подвергать, вопрос
sublist|саблист|подсписок
subroutine|сабруутин|подпрограмма
subparameter|сабпарэмитэ|подпараметр
subscriptrance|сабскриптрэнсж|диапозон изм. индекса
subsequently|сабсэквэнтли|в дальнейшем
subset|сабсэт|подмножество
substantial|сабстэншиал|существенный
subtask|сабтаск|подзадача
substitute|сабститьюд|заместитель, подстановка
subtract|сабтрэкт|вычесть
successful|саксэсфул|успешно
sufficient(ly)|сафишинт(ли)|достаточный(|но), (умело)
suggest|саджэст|предполагать
suitable|сьютэбл|подходящий, годный
suited|сьютэд|соответствующий
sum(mary)|сам(мари)|сумма (сводка)
supply|сэплэй|обеспечиваться, снабжаться
support|сэпот|подтверждать
suppose|сапоуз|предполагать
suppres|сапрэс|подавлять, запрещать
surface|софэйс|поверхность
surround|сэраунд|окружать
survey|сээвей|обзор, обследование
survival|совайвэл|выживание
suspend|саспэнд|приостанавливать
sustain|састэйн|поддерживать
swap|своп|обмен
sway|свэй|качаться, управлять
sweep|свип|развертка, проносить
swing|свинг|отклонение
switch(ing)|свич(инг)|переключатель (коммутация)
symbolic|симболик|символический
syndetic|синдетик|имеющий перекрестные ссылки
syntax|синтэкс|синтаксис
system|систэм|система
table|тэйбл|таблица, стол
tackle|тэкл|закреплять, схватывать
tag|тэг|ярлык
tail|тэйл|хвост, конечная фаза
take|тэйк|брать, взять
talling|толинг|подсчитывая
tangible|тэнджебл|осязаемый
tank|тэнк|резервуар, контур
tap|тэп|ответвлять
tape|тэйп|телеграфная лента
target|таагет|выходной, цель, мишень
task|таск|задание
taut|тоот|упругий
team|тиим|бригада, группа
teleprocessing|тэлипроусэсинг|телеобработка
templet|темплит|шаблон
temporary|тэмрэрэри|временный
tend|тенд|иметь тенденцию
tentative|тентатив|предварительный
term|тоом|член, срок, называть
terminal|теминал|зажим, оконечное устр|во
terminate|тэминэйт|кончать
ternary|тонари|троичный
terrestrial|тирестриал|земной, наземный
testify|тестифай|свидетельствовать
themselves|земсэлвз|себя
then|зэн|то, затем
thereby|зеабай|таким образом
there for|зеа фо|поэтому, следовательно
thermal|фомэл|тепловой
thickness|фикнес|толщина
thimble|фимбл|наконечник, муфта
threshold|фишоулд|порог (лог. оператор)
through(out|фру(аут)|через (во всех отношениях)
throughput|фруупут|проложить
tic|тик|переход в канале
tie|тай|выделенный
tilt|тилт|наклон
time(sharing)|тайм(шеринг)|раз, время (разделение времени)
timer|таймэ|таймер
tin(et)|тин(тайнт)|олово (принцип, догма)
tip|тип|головка, конец, отпайка
title|тайтл|заголовок
to|ту|до
together|тэгэзэ|вместе
toggle|тогл|триггер, двуустойчивый
tolerance|толерэнс|допуск
toll|тоул|плата за дальнюю связь
tool|туул|инструмент
topic|топик|цена, предмет
to proceed to|ту прэсид ту|в дальнейшем на
torch|тооч|сварочная горелка
total|тоутэл|итог, абсолютный
tough|таф|плотный, выносливый
tplab|типилэйб|метка на ленте
trace|трэйс|след, траектория
track|трэк|дорожка
traffic|трэфик|поток сообщений
trail(er)|трэйл(а)|следовать (конечный)
train|трэйн|кортеж, тренировать
tran(smit)|трэн(смит)|передавать
transfer|трансфо|перенос, пересылка
transform|трэнсфом|преобразовывать
transit|трэнсит|переход
translate|трэнслэйт|перекодировать, перевести
transmission|трэнсмишн|пропускание, передача
transmit|трэнзмит|передавать
transparent|трэнспэарэнт|прозрачный
transverse|трэнсворс|поперечный
trap|трэп|ловушка, улавливать
travel|трэвл|перемещаться, путешествовать
tray|трэй|кювета, с'емный блок
treat|триит|обрабатывать, трактовать
tremendous|тримэндос|огромный
trial|трэйл|отладка
trip|трип|сцеплять
triple|трипл|тройник
trk(track)|трэк|дорожка
trouble|трабл|помехи, авария, затруднять
truncate|транкэйт|обрывать, усекаться
trunk|тринк|магистраль, канал
truth|труф|истинный
tune(able)|тьюн(эйбл)|настраивать(|емый)
turn(on)|тон(он)|виток, оборот (включение)
twist|твист|крутить, закручивать
type|тайп|тип
typograthy|тайпографи|книгопечатание
ucs|юсиэс|ун. набор симв.
ultimate(ly)|алтимат(ли)|предельный (в конце концов)
unable|анэйбл|неспособный
unaffected|анаффэктид|независимый
unattainable|анатэйнэбл|недостижимый
unauthorised|анофэрайзд|непроволочный
unbalance|анбэленс|несоотношение
unbuffered|анбафэд|без буфера
uncertainty|ансотэйнти|неопределенность
underestimate|андээстимэйт|недооценивать
underflow|андэфлоу|потеря рез|та (<0)
undergo(ing)|андэгоу(инг)|подвергать (испытывать)
undertaking|андэтэйкинг|обязательство
undistorted|андистоотэд|неискаженный
unexpectedly|аникспэктидли|неожиданно
unfortunately|анфочинатли|к несчастью
unidentifiable|анайдентифиэйбл|необозначенный
uniform|юнифоом|однородный, равномерный
uninterrupted|анинтэраптид|непрерывный
uniqu|юник|единственный
unit(y)|юнит(и)|уст|во, блок (единство)
unless|анлэс|если не, без того чтобы
unlimited|анлимитэд|неограниченный
unload|анлоуд|разгрузить
unmatched|анмэчт|непарный
unpack|анпэк|распаковать
unpredictable|анпредиктэбл|непредвиденный
unrecoverable|анрикавэбл|неисправимый
unreliable|анрэлаэбл|ненадежный
unstable|анстэйбл|неустойчивый
unsuccessful|ансаксэсфул|неудачный
unsupport|ансапот|неподдерживаемый
until(first)|антил(фест)|пока, до тех пор (до первого)
unward|ануод|снизу вверх
